cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500010092,0092,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500010181,0181,"(50, 70)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500010196,0196,"(50, 70)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500010209,0209,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500010213,0213,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500030124,0124,"(70, 100)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500030139,0139,"(70, 100)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500030143,0143,"(70, 100)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500030228,0228,"(70, 100)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500030232,0232,"(70, 100)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,290150003036A,036A,"(70, 100)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500220302,0302,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500220317,0317,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,290150031029A,029A,"(50, 70)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500320105,0105,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,290150032011A,011A,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500320266,0266,"(50, 70)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500320270,0270,"(34, 50)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500380321,0321,"(50, 70)","(0, 20)"
29,Tlaxcala,29015,Ixtacuixtla de Mariano Matamoros,2901500380336,0336,"(34, 50)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900010034,0034,"(34, 50)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900010053,0053,"(50, 70)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900010087,0087,"(50, 70)","(0, 20)"
29,Tlaxcala,29019,Tepetitla de Lardizábal,2901900010091,0091,"(50, 70)","(0, 20)"
